MAPE,MAE,RMSE,R2,TestTime,Variant,Seed,TrainTime
4.548879101008093,0.010819581118279478,0.017040336868906127,0.9626481677994221,0.09256291389465332,Full,42,429.7691903114319
4.885775378577054,0.011181541623489966,0.016225885606038777,0.966133339239676,0.09311628341674805,Full,43,421.9727144241333
5.214539014883755,0.012055376109084694,0.017579387342567008,0.9602476297523345,0.09405159950256348,Full,44,374.1661174297333
4.940004636287475,0.011722861800344413,0.01787256676854242,0.9589106364659632,0.2205197811126709,wo_Patch,42,271.1770510673523
4.630886545171089,0.01092302259250112,0.01717246987306499,0.9620666599636736,0.21236729621887207,wo_Patch,43,265.1702265739441
4.5291800013798404,0.010558817691980088,0.015915764405659512,0.9674155374958815,0.21504735946655273,wo_Patch,44,280.3226640224457
5.547580370656871,0.013389985281757315,0.020824647878864462,0.9442158408476217,0.08696150779724121,wo_Pretrain,42,316.91812014579773
5.407670279714625,0.012358654256399466,0.018164463372449435,0.9575575249413361,0.09224128723144531,wo_Pretrain,43,351.7657721042633
7.820339409728039,0.017946164928734912,0.025469395723171317,0.9165564369604601,0.13698697090148926,wo_Pretrain,44,445.1318573951721

